inout_travelling,operator,network_type,rating,calldrop_category,latitude,longitude,state_name,month,year
Travelling,Airtel,4G,5,Satisfactory,26.2062234,78.18923838,Madhya Pradesh,1,2021
Travelling,Airtel,4G,5,Satisfactory,23.06958391,72.51512616,Gujarat,1,2021
Travelling,Airtel,4G,5,Satisfactory,-1.0,-1.0,NA,1,2021
Travelling,Airtel,4G,5,Satisfactory,-1.0,-1.0,NA,1,2021
Travelling,Airtel,4G,5,Satisfactory,26.84428747,80.88416229,Uttar Pradesh,1,2021
Travelling,Airtel,4G,4,Satisfactory,13.9367344,75.5481818,Karnataka,4,2021
Travelling,Airtel,4G,2,Poor Voice Quality,28.60192649,77.18030207,Delhi,4,2021
Travelling,Airtel,4G,5,Satisfactory,16.979897,82.2658488,Andhra Pradesh,5,2021
Travelling,Airtel,4G,4,Satisfactory,-1.0,-1.0,NA,5,2021
Travelling,Airtel,4G,4,Satisfactory,17.4932534,78.3841294,Telangana,5,2021
Travelling,Airtel,4G,4,Satisfactory,-1.0,-1.0,NA,5,2021
Travelling,Airtel,4G,4,Satisfactory,-1.0,-1.0,NA,5,2021
Travelling,Airtel,4G,1,Poor Voice Quality,29.2990208,73.9041986,Rajasthan,11,2021
Travelling,Airtel,4G,5,Satisfactory,-1.0,-1.0,NA,8,2021
Travelling,Airtel,4G,5,Satisfactory,10.30304444,76.22318657,Kerala,1,2021
Travelling,Airtel,4G,5,Satisfactory,26.86259423,81.01793916,Uttar Pradesh,1,2021
Travelling,Airtel,4G,5,Satisfactory,-1.0,-1.0,NA,1,2021
Travelling,Airtel,4G,5,Satisfactory,-1.0,-1.0,NA,1,2021
Travelling,Airtel,4G,5,Satisfactory,-1.0,-1.0,NA,1,2021
Travelling,Airtel,4G,5,Satisfactory,-1.0,-1.0,NA,1,2021
Travelling,Airtel,4G,5,Satisfactory,-1.0,-1.0,NA,1,2021
Travelling,Airtel,4G,5,Satisfactory,-1.0,-1.0,NA,1,2021
Travelling,Airtel,4G,5,Satisfactory,-1.0,-1.0,NA,1,2021
Travelling,Airtel,4G,1,Call Dropped,-1.0,-1.0,NA,9,2021
Travelling,Airtel,4G,2,Poor Voice Quality,25.45617843,86.00817683,Bihar,9,2021
Travelling,Airtel,4G,1,Poor Voice Quality,19.16043443,73.11892153,Maharashtra,9,2021
Travelling,Airtel,4G,5,Satisfactory,-1.0,-1.0,NA,7,2021
Travelling,Airtel,4G,1,Call Dropped,-1.0,-1.0,NA ,11,2021
Travelling,Airtel,4G,1,Call Dropped,-1.0,-1.0,NA ,11,2021
Travelling,Airtel,4G,1,Poor Voice Quality,23.0303063,72.613084,Gujarat,11,2021
Travelling,Airtel,4G,1,Poor Voice Quality,-1.0,-1.0,NA ,11,2021
Travelling,Airtel,4G,5,Satisfactory,10.30823878,76.22428118,Kerala,11,2021
Travelling,Airtel,4G,1,Poor Voice Quality,-1.0,-1.0,NA,9,2021
Travelling,Airtel,4G,1,Poor Voice Quality,29.1890217,75.6548115,Haryana,8,2021
Travelling,Airtel,4G,3,Satisfactory,-1.0,-1.0,NA,7,2021
Travelling,Airtel,4G,1,Poor Voice Quality,29.3000992,73.9053022,Rajasthan,7,2021
Travelling,Airtel,4G,1,Poor Voice Quality,29.2996734,73.9056666,Rajasthan,7,2021
Travelling,Airtel,4G,1,Poor Voice Quality,29.3004525,73.9053022,Rajasthan,7,2021
Travelling,Airtel,4G,1,Poor Voice Quality,29.2990281,73.904256,Rajasthan,7,2021
Travelling,Airtel,4G,3,Satisfactory,16.5467946,81.55581377,Andhra Pradesh,6,2021
Travelling,Airtel,4G,3,Satisfactory,16.11166007,79.8242713,Andhra Pradesh,6,2021
Travelling,Airtel,4G,3,Satisfactory,16.11166007,79.8242713,Andhra Pradesh,6,2021
Travelling,Airtel,4G,3,Satisfactory,16.11166007,79.8242713,Andhra Pradesh,6,2021
Travelling,Airtel,4G,3,Satisfactory,16.11166007,79.8242713,Andhra Pradesh,6,2021
Travelling,Airtel,4G,3,Satisfactory,-1.0,-1.0,NA,2,2021
Travelling,Airtel,4G,3,Satisfactory,-1.0,-1.0,NA,2,2021
Travelling,Airtel,4G,5,Satisfactory,15.4863335,80.0413568,Andhra Pradesh,2,2021
Travelling,Airtel,4G,5,Satisfactory,31.60590774,74.90426716,Punjab,2,2021
Travelling,Airtel,4G,4,Satisfactory,24.096845,88.2525,West Bengal,2,2021
Travelling,Airtel,4G,5,Satisfactory,31.6062517,74.9045092,Punjab,2,2021
Travelling,Airtel,4G,3,Satisfactory,-1.0,-1.0,NA,3,2021
Travelling,Airtel,4G,3,Satisfactory,-1.0,-1.0,NA,3,2021
Travelling,Airtel,4G,1,Poor Voice Quality,23.03094204,72.6144238,Gujarat,3,2021
Travelling,Airtel,4G,1,Poor Voice Quality,-1.0,-1.0,NA,3,2021
Travelling,Airtel,4G,2,Poor Voice Quality,15.5147286,80.0359183,Andhra Pradesh,3,2021
Travelling,Airtel,4G,4,Satisfactory,13.002944,77.7117071,Karnataka,3,2021
Travelling,Airtel,4G,5,Satisfactory,23.0458708,72.51636509,Gujarat,2,2021
Travelling,Airtel,4G,3,Satisfactory,-1.0,-1.0,NA,2,2021
Travelling,Airtel,4G,3,Satisfactory,-1.0,-1.0,NA,2,2021
Travelling,Airtel,4G,3,Satisfactory,-1.0,-1.0,NA,2,2021
Travelling,Airtel,4G,3,Satisfactory,-1.0,-1.0,NA,2,2021
Travelling,Airtel,4G,3,Satisfactory,-1.0,-1.0,NA,2,2021
Travelling,Airtel,4G,3,Satisfactory,-1.0,-1.0,NA,2,2021
Travelling,Airtel,4G,5,Satisfactory,10.02184095,76.30990321,Kerala,1,2021
Travelling,Airtel,4G,5,Satisfactory,21.10994505,73.39869269,Gujarat,1,2021
Travelling,Airtel,4G,5,Satisfactory,-1.0,-1.0,NA,1,2021
Travelling,Airtel,4G,5,Satisfactory,-1.0,-1.0,NA,1,2021
Travelling,Airtel,4G,5,Satisfactory,11.5915462,78.6271208,Tamil Nadu,1,2021
Travelling,Airtel,4G,1,Poor Voice Quality,12.68421717,79.95872029,Tamil Nadu,1,2021
Travelling,Airtel,4G,5,Satisfactory,23.06966561,72.51525653,Gujarat,1,2021
Travelling,Airtel,4G,5,Satisfactory,13.0332577,80.2772011,Tamil Nadu,1,2021
Travelling,Airtel,4G,3,Satisfactory,-1.0,-1.0,NA,1,2021
Travelling,Airtel,4G,3,Satisfactory,-1.0,-1.0,NA,1,2021
Travelling,Airtel,4G,3,Satisfactory,-1.0,-1.0,NA,1,2021
Travelling,Airtel,4G,3,Satisfactory,-1.0,-1.0,NA,1,2021
Travelling,Airtel,4G,3,Satisfactory,-1.0,-1.0,NA,1,2021
Travelling,Airtel,4G,5,Satisfactory,22.6312844,88.4836896,West Bengal,1,2021
Travelling,Airtel,4G,5,Satisfactory,9.940073253,76.3173933,Kerala,1,2021
Travelling,Airtel,4G,3,Satisfactory,15.66980168,79.34952758,Andhra Pradesh,6,2021
Travelling,Airtel,4G,3,Satisfactory,15.66980168,79.34952758,Andhra Pradesh,6,2021
Travelling,Airtel,4G,3,Satisfactory,15.66980168,79.34952758,Andhra Pradesh,6,2021
Travelling,Airtel,4G,3,Satisfactory,15.66980168,79.34952758,Andhra Pradesh,6,2021
Travelling,Airtel,4G,3,Satisfactory,15.66980168,79.34952758,Andhra Pradesh,6,2021
Travelling,Airtel,4G,3,Satisfactory,15.66980168,79.34952758,Andhra Pradesh,6,2021
Travelling,Airtel,4G,3,Satisfactory,15.66980168,79.34952758,Andhra Pradesh,6,2021
Travelling,Airtel,4G,3,Satisfactory,15.66980168,79.34952758,Andhra Pradesh,6,2021
Travelling,Airtel,4G,3,Satisfactory,15.66980168,79.34952758,Andhra Pradesh,6,2021
Travelling,Airtel,4G,3,Satisfactory,15.66980168,79.34952758,Andhra Pradesh,6,2021
Travelling,Airtel,4G,3,Satisfactory,15.64606708,79.49818523,Andhra Pradesh,6,2021
Travelling,Airtel,4G,3,Satisfactory,15.64527926,79.50028364,Andhra Pradesh,6,2021
Travelling,Airtel,4G,3,Satisfactory,15.64527926,79.50028364,Andhra Pradesh,6,2021
Travelling,Airtel,4G,3,Satisfactory,15.64527926,79.50028364,Andhra Pradesh,6,2021
Travelling,Airtel,4G,3,Satisfactory,15.7361283,79.2664336,Andhra Pradesh,6,2021
Travelling,Airtel,4G,3,Satisfactory,15.734362,79.2631174,Andhra Pradesh,6,2021
Travelling,Airtel,4G,3,Satisfactory,15.7343612,79.2631115,Andhra Pradesh,6,2021
Travelling,Airtel,4G,3,Satisfactory,15.7343578,79.2631132,Andhra Pradesh,6,2021
Travelling,Airtel,4G,3,Satisfactory,15.7343578,79.2631132,Andhra Pradesh,6,2021
Travelling,Airtel,4G,3,Satisfactory,15.7229819,79.2639672,Andhra Pradesh,6,2021
Travelling,Airtel,4G,3,Satisfactory,15.7229819,79.2639672,Andhra Pradesh,6,2021
Travelling,Airtel,4G,3,Satisfactory,15.7116643,79.3058869,Andhra Pradesh,6,2021
Travelling,Airtel,4G,3,Satisfactory,15.7325695,79.2672983,Andhra Pradesh,6,2021
Travelling,Airtel,4G,3,Satisfactory,15.7248202,79.2657939,Andhra Pradesh,6,2021
Travelling,Airtel,4G,3,Satisfactory,15.7218617,79.2632625,Andhra Pradesh,6,2021
Travelling,Airtel,4G,3,Satisfactory,15.7343642,79.2631193,Andhra Pradesh,6,2021
Travelling,Airtel,4G,3,Satisfactory,16.98602847,82.2501463,Andhra Pradesh,5,2021
Travelling,Airtel,4G,1,Poor Voice Quality,16.98602847,82.2501463,Andhra Pradesh,5,2021
Travelling,Airtel,4G,1,Call Dropped,16.98166974,82.24920759,Andhra Pradesh,5,2021
Travelling,Airtel,4G,1,Call Dropped,17.80006695,79.9814495,Telangana,4,2021
Travelling,Airtel,4G,5,Satisfactory,23.0454261,72.5160093,Gujarat,3,2021
Travelling,Airtel,4G,5,Satisfactory,22.36450059,73.13129811,Gujarat,3,2021
Travelling,Airtel,4G,1,Poor Voice Quality,-1.0,-1.0,NA,3,2021
Travelling,Airtel,4G,1,Poor Voice Quality,-1.0,-1.0,NA,4,2021
Travelling,Airtel,4G,1,Poor Voice Quality,-1.0,-1.0,NA,4,2021
Travelling,Airtel,4G,5,Satisfactory,-1.0,-1.0,NA,4,2021
Travelling,Airtel,4G,1,Poor Voice Quality,-1.0,-1.0,NA,4,2021
Travelling,Airtel,4G,2,Poor Voice Quality,16.54876398,81.55221396,Andhra Pradesh,4,2021
Travelling,Airtel,4G,5,Satisfactory,-1.0,-1.0,NA,4,2021
Travelling,Airtel,4G,4,Satisfactory,-1.0,-1.0,NA,4,2021
Travelling,Airtel,4G,4,Satisfactory,-1.0,-1.0,NA,4,2021
Travelling,Airtel,4G,3,Satisfactory,-1.0,-1.0,NA,4,2021
Travelling,Airtel,4G,5,Satisfactory,-1.0,-1.0,NA,4,2021
Travelling,Airtel,4G,5,Satisfactory,-1.0,-1.0,NA,4,2021
Travelling,Airtel,4G,5,Satisfactory,-1.0,-1.0,NA,3,2021
Travelling,Airtel,4G,4,Satisfactory,24.08861167,88.25507667,West Bengal,3,2021
Travelling,Airtel,4G,4,Satisfactory,-1.0,-1.0,NA,3,2021
Travelling,Airtel,4G,2,Poor Voice Quality,15.7333167,79.2607961,Andhra Pradesh,3,2021
Travelling,Airtel,4G,1,Call Dropped,-1.0,-1.0,NA,6,2021
Travelling,Airtel,4G,3,Satisfactory,15.7110621,79.3083522,Andhra Pradesh,6,2021
Travelling,Airtel,4G,3,Satisfactory,15.7553331,79.3256073,Andhra Pradesh,6,2021
Travelling,Airtel,4G,3,Satisfactory,15.7434151,79.3924846,Andhra Pradesh,6,2021
Travelling,Airtel,4G,5,Satisfactory,23.0722926,72.5079152,Gujarat,2,2021
Travelling,Airtel,4G,1,Poor Voice Quality,23.030539,72.6137375,Gujarat,3,2021
Travelling,Airtel,4G,1,Call Dropped,-1.0,-1.0,NA,3,2021
Travelling,Airtel,4G,1,Poor Voice Quality,-1.0,-1.0,NA,3,2021
Travelling,Airtel,4G,3,Poor Voice Quality,16.5409076,81.5249438,Andhra Pradesh,3,2021
Travelling,Airtel,4G,3,Satisfactory,-1.0,-1.0,NA,2,2021
Travelling,Airtel,4G,3,Satisfactory,-1.0,-1.0,NA,2,2021
Travelling,Airtel,4G,1,Poor Voice Quality,22.27520676,70.80113602,Gujarat,2,2021
Travelling,Airtel,4G,5,Satisfactory,-1.0,-1.0,NA,2,2021
Travelling,Airtel,4G,5,Satisfactory,31.605864,74.9042524,Punjab,2,2021
Travelling,Airtel,4G,5,Satisfactory,31.605468,74.9009638,Punjab,2,2021
Travelling,Airtel,4G,5,Satisfactory,31.6062565,74.9046686,Punjab,2,2021
Travelling,Airtel,4G,4,Satisfactory,-1.0,-1.0,NA,2,2021
Travelling,Airtel,4G,5,Satisfactory,-1.0,-1.0,NA,2,2021
Travelling,Airtel,4G,3,Satisfactory,-1.0,-1.0,NA,2,2021
Travelling,Airtel,4G,5,Satisfactory,31.60672186,74.90484922,Punjab,2,2021
Travelling,Airtel,4G,3,Satisfactory,-1.0,-1.0,NA,2,2021
Travelling,Airtel,4G,3,Satisfactory,-1.0,-1.0,NA,2,2021
Travelling,Airtel,4G,4,Satisfactory,24.089375,88.26324,West Bengal,2,2021
Travelling,Airtel,4G,3,Satisfactory,-1.0,-1.0,NA,3,2021
Travelling,Airtel,4G,5,Satisfactory,23.29594811,72.34119606,Gujarat,3,2021
Travelling,Airtel,4G,5,Satisfactory,-1.0,-1.0,NA,4,2021
Travelling,Airtel,4G,5,Satisfactory,18.9679365,73.0203946,Maharashtra,4,2021
Travelling,Airtel,4G,5,Satisfactory,-1.0,-1.0,NA,4,2021
Travelling,Airtel,4G,5,Satisfactory,-1.0,-1.0,NA,4,2021
Travelling,Airtel,4G,5,Satisfactory,-1.0,-1.0,NA,4,2021
Travelling,Airtel,4G,5,Satisfactory,-1.0,-1.0,NA,4,2021
Travelling,Airtel,4G,1,Poor Voice Quality,-1.0,-1.0,NA,4,2021
Travelling,Airtel,4G,1,Poor Voice Quality,-1.0,-1.0,NA,4,2021
Travelling,Airtel,4G,2,Poor Voice Quality,15.73470692,79.2631277,Andhra Pradesh,4,2021
Travelling,Airtel,4G,2,Poor Voice Quality,28.61438122,77.12539822,Delhi,4,2021
Travelling,Airtel,4G,5,Satisfactory,-1.0,-1.0,NA,4,2021
Travelling,Airtel,4G,3,Satisfactory,15.7229819,79.2639672,Andhra Pradesh,6,2021
Travelling,Airtel,4G,3,Satisfactory,15.7218791,79.2636149,Andhra Pradesh,6,2021
Travelling,Airtel,4G,5,Satisfactory,-1.0,-1.0,NA,6,2021
Travelling,Airtel,4G,3,Satisfactory,15.7229819,79.2639672,Andhra Pradesh,6,2021
Travelling,Airtel,4G,3,Satisfactory,15.7344859,79.26312,Andhra Pradesh,6,2021
Travelling,Airtel,4G,5,Satisfactory,-1.0,-1.0,NA,6,2021
Travelling,Airtel,4G,5,Satisfactory,-1.0,-1.0,NA,6,2021
Travelling,Airtel,4G,1,Poor Voice Quality,-1.0,-1.0,NA,6,2021
Travelling,Airtel,4G,5,Satisfactory,23.07250376,72.50961382,Gujarat,3,2021
Travelling,Airtel,4G,5,Satisfactory,12.98335087,77.75216016,Karnataka,3,2021
Travelling,Airtel,4G,5,Satisfactory,-1.0,-1.0,NA,3,2021
Travelling,Airtel,4G,1,Poor Voice Quality,22.2823919,70.80696976,Gujarat,2,2021
Travelling,Airtel,4G,5,Satisfactory,-1.0,-1.0,NA,2,2021
Travelling,Airtel,4G,5,Satisfactory,-1.0,-1.0,NA,2,2021
Travelling,Airtel,4G,1,Poor Voice Quality,-1.0,-1.0,NA,2,2021
Travelling,Airtel,4G,1,Poor Voice Quality,-1.0,-1.0,NA,2,2021
Travelling,Airtel,4G,2,Call Dropped,22.59097333,88.36417167,West Bengal,3,2021
Travelling,Airtel,4G,3,Satisfactory,-1.0,-1.0,NA,1,2021
Travelling,Airtel,4G,5,Satisfactory,-1.0,-1.0,NA,1,2021
Travelling,Airtel,4G,2,Poor Voice Quality,15.21882802,79.91462193,Andhra Pradesh,1,2021
Travelling,Airtel,4G,5,Satisfactory,-1.0,-1.0,NA,1,2021
Travelling,Airtel,4G,3,Satisfactory,-1.0,-1.0,NA,1,2021
Travelling,Airtel,4G,5,Satisfactory,21.9099432,83.3892124,Chhattisgarh,1,2021
Travelling,Airtel,4G,5,Satisfactory,24.17409333,72.41803167,Gujarat,1,2021
Travelling,Airtel,4G,5,Satisfactory,12.38581524,79.79601208,Tamil Nadu,1,2021
Travelling,Airtel,4G,5,Satisfactory,-1.0,-1.0,NA,1,2021
Travelling,Airtel,4G,3,Satisfactory,-1.0,-1.0,NA,1,2021
Travelling,Airtel,4G,2,Poor Voice Quality,-1.0,-1.0,NA,1,2021
Travelling,Airtel,4G,5,Satisfactory,25.54350582,84.64691043,Bihar,1,2021
Travelling,Airtel,4G,3,Satisfactory,-1,-1,NA,2,2022
Travelling,Airtel,4G,4,Satisfactory,13.11079949,77.46996126,Karnataka,4,2022
Travelling,Airtel,4G,1,Call Dropped,-1,-1,NA,5,2022
Travelling,Airtel,4G,4,Satisfactory,13.85828404,75.67573498,Karnataka,5,2022
Travelling,Airtel,4G,5,Satisfactory,-1,-1,NA,5,2022
Travelling,Airtel,4G,1,Call Dropped,24.6343366,78.29455731,Uttar Pradesh,5,2022
Travelling,Airtel,4G,5,Satisfactory,13.77112525,75.7463574,Karnataka,6,2022
Travelling,Airtel,4G,5,Satisfactory,-1,-1,NA,6,2022
Travelling,Airtel,4G,5,Satisfactory,9.172333824,77.87742167,Tamil Nadu,6,2022
Travelling,Airtel,4G,5,Satisfactory,-1,-1,NA,6,2022
Travelling,Airtel,4G,2,Poor Voice Quality,-1,-1,NA ,1,2022
Travelling,Airtel,4G,5,Satisfactory,-1,-1,NA,10,2022
Travelling,Airtel,4G,3,Satisfactory,19.1833833,72.8451459,Maharashtra,10,2022
Travelling,Airtel,4G,4,Satisfactory,-1,-1,NA,10,2022
Travelling,Airtel,4G,5,Satisfactory,-1,-1,NA,10,2022
Travelling,Airtel,4G,1,Poor Voice Quality,-1,-1,NA,10,2022
Travelling,Airtel,4G,2,Call Dropped,12.45315833,76.76939667,Karnataka,8,2022
Travelling,Airtel,4G,3,Satisfactory,-1,-1,NA,8,2022
Travelling,Airtel,4G,5,Satisfactory,15.889705,76.44568667,Karnataka,8,2022
Travelling,Airtel,4G,4,Satisfactory,-1,-1,NA,9,2022
Travelling,Airtel,4G,1,Poor Voice Quality,19.2205357,72.8428601,Maharashtra,11,2022
Travelling,Airtel,4G,5,Satisfactory,-1,-1,NA,11,2022
Travelling,Airtel,4G,1,Poor Voice Quality,19.22062151,72.84287017,Maharashtra,11,2022
Travelling,Airtel,4G,5,Satisfactory,13.04551748,77.55631926,Karnataka,11,2022
Travelling,Airtel,4G,5,Satisfactory,-1,-1,NA,12,2022
Travelling,Airtel,4G,4,Satisfactory,19.22055522,72.84281136,Maharashtra,12,2022
Travelling,Airtel,4G,1,Poor Voice Quality,11.08336167,77.29194167,Tamil Nadu,12,2022
Travelling,Airtel,4G,2,Poor Voice Quality,-1,-1,NA,12,2022
Travelling,Airtel,4G,5,Satisfactory,23.37981276,85.31012091,Jharkhand,12,2022
Travelling,Airtel,4G,5,Satisfactory,-1,-1,NA,1,2023
Travelling,Airtel,4G,5,Satisfactory,-1,-1,NA,1,2023
Travelling,Airtel,4G,5,Satisfactory,23.37980018,85.31015305,Jharkhand,10,2022
Travelling,Airtel,4G,5,Satisfactory,12.53972446,78.56302116,Tamil Nadu,3,2023
Travelling,Airtel,4G,5,Satisfactory,12.37824519,78.49918188,Tamil Nadu,3,2023
Travelling,Airtel,4G,1,Call Dropped,10.84644295,76.83749693,Tamil Nadu,3,2023
Travelling,Airtel,4G,5,Satisfactory,18.007,81.71031833,Chhattisgarh,8,2023
Travelling,Airtel,4G,5,Satisfactory,18.007,81.71031833,Chhattisgarh,8,2023
Travelling,Airtel,4G,5,Satisfactory,18.007,81.71031833,Chhattisgarh,8,2023
Travelling,Airtel,4G,2,Poor Voice Quality,25.6078201,85.11405,Bihar,8,2023
Travelling,Airtel,4G,5,Satisfactory,-1,-1,NA,8,2023
Travelling,Airtel,4G,5,Satisfactory,-1,-1,NA,8,2024
Travelling,Airtel,4G,3,Satisfactory,-1,-1,NA,8,2024
Travelling,Airtel,4G,1,Poor Voice Quality,-1,-1,NA,8,2024
Travelling,Airtel,4G,3,Satisfactory,-1,-1,NA,8,2024
Travelling,Airtel,4G,1,Call Dropped,-1,-1,NA,8,2024
Travelling,Airtel,4G,5,Satisfactory,-1,-1,NA,8,2024
Travelling,Airtel,4G,5,Satisfactory,-1,-1,NA,8,2024
Travelling,Airtel,4G,3,Satisfactory,-1,-1,NA,8,2024
Travelling,Airtel,4G,5,Satisfactory,-1,-1,NA,8,2024
Travelling,Airtel,4G,5,Satisfactory,-1,-1,NA,3,2024
Travelling,Airtel,4G,5,Satisfactory,-1,-1,NA,3,2024
Travelling,Airtel,4G,5,Satisfactory,-1,-1,NA,3,2024
Travelling,Airtel,4G,3,Satisfactory,12.94249167,78.72006333,Tamil Nadu,12,2023
Travelling,Airtel,4G,3,Poor Voice Quality,-1,-1,NA,5,2024
Travelling,Airtel,4G,4,Satisfactory,-1,-1,NA,5,2024
Travelling,Airtel,4G,3,Call Dropped,-1,-1,NA,5,2024
Travelling,Airtel,4G,5,Satisfactory,-1,-1,NA,5,2024
Travelling,Airtel,4G,5,Satisfactory,-1,-1,NA,5,2024
Travelling,Airtel,4G,5,Satisfactory,21.36585341,86.79277827,Odisha,5,2024
Travelling,Airtel,4G,1,Poor Voice Quality,-1,-1,NA,5,2024
Travelling,Airtel,4G,5,Satisfactory,-1,-1,NA,1,2024
Travelling,Airtel,4G,2,Poor Voice Quality,25.60709833,85.11430167,Bihar,1,2024
Travelling,Airtel,4G,5,Satisfactory,-1,-1,NA,1,2024
Travelling,Airtel,4G,3,Satisfactory,18.12156917,78.51323477,Telangana,1,2024
Travelling,Airtel,4G,1,Poor Voice Quality,-1,-1,NA,4,2024
Travelling,Airtel,4G,5,Satisfactory,-1,-1,NA,1,2025
Travelling,Airtel,4G,4,Satisfactory,-1,-1,NA,1,2025
Travelling,Airtel,4G,5,Satisfactory,26.48869597,87.0489834,Bihar,1,2025
Travelling,Airtel,4G,1,Poor Voice Quality,-1,-1,NA,1,2025
Travelling,Airtel,4G,1,Poor Voice Quality,-1,-1,NA,1,2025
Travelling,Airtel,4G,5,Satisfactory,-1,-1,NA,1,2025
Travelling,Airtel,4G,3,Satisfactory,-1,-1,NA,1,2025
Travelling,Airtel,4G,5,Satisfactory,-1,-1,NA,1,2025
Travelling,Airtel,4G,5,Satisfactory,-1,-1,NA,1,2025
Travelling,Airtel,4G,5,Satisfactory,-1,-1,NA,1,2025
Travelling,Airtel,4G,5,Satisfactory,-1,-1,NA,1,2025
Travelling,Airtel,4G,5,Satisfactory,-1,-1,NA,10,2024
Travelling,Airtel,4G,5,Satisfactory,-1,-1,NA,10,2024
Travelling,Airtel,4G,1,Poor Voice Quality,-1,-1,NA,10,2024
Travelling,Airtel,4G,5,Satisfactory,-1,-1,NA,10,2024
Travelling,Airtel,4G,1,Call Dropped,-1,-1,NA,10,2024
Travelling,Airtel,4G,1,Poor Voice Quality,-1,-1,NA,10,2024
Travelling,Airtel,4G,3,Satisfactory,-1,-1,NA,10,2024
Travelling,Airtel,4G,1,Poor Voice Quality,-1,-1,NA,10,2024
Travelling,Airtel,4G,1,Poor Voice Quality,-1,-1,NA,10,2024
Travelling,Airtel,4G,1,Call Dropped,-1,-1,NA,10,2024
Travelling,Airtel,4G,3,Satisfactory,-1,-1,NA,10,2024
